,SMILES,pIC50,num_atoms,logP
2781,NNc1ccc([N+](=O)[O-])cc1,0.13,11,0.8804
2782,COc1ccc([N+](=O)[O-])cc1,0.02,11,1.6034
2783,CC(=O)c1ccc([N+](=O)[O-])cc1,0.02,12,1.7974
2784,O=C(O)c1ccc(C(=O)O)cc1,0.08,12,1.083
2785,CN(C)c1ccc([N+](=O)[O-])cc1,0.02,12,1.6608
2786,O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,0.03,12,1.503
2787,O=[N+]([O-])c1ccc(CCO)cc1,0.07,12,1.1296
2788,CCOc1ccc([N+](=O)[O-])cc1,0.01,12,1.9935
2789,CCN(CC)CCN,0.52,8,0.2869
2790,BrCc1ccccc1,0.0,8,2.5815
2791,C=CC1CC=CCC1,0.0,8,2.5287
2792,CCc1ccccc1,0.01,8,2.249
2793,C=Cc1ccccc1,0.0,8,2.3296
2794,ClCc1ccccc1,0.0,8,2.4254
2795,NCc1ccccc1,0.07,8,1.1453
2796,N#Cc1ccccc1,0.03,8,1.55828
2797,N#Cc1ccncc1,0.11,8,0.95328
2798,OCc1ccccc1,0.07,8,1.1789
2799,O=Cc1ccccc1,0.03,8,1.4991
2800,N#Cc1cccnc1,0.11,8,0.95328
2801,OCc1cccnc1,0.27,8,0.5739
2802,CNc1ccccc1,0.02,8,1.7283
2803,NNc1ccccc1,0.11,8,0.9722
2804,O=NC1CCCCC1,0.01,8,2.0855
2805,ONc1ccccc1,0.03,8,1.4877
2806,COc1ccccc1,0.02,8,1.6952
2807,CSc1ccccc1,0.0,8,2.4085
2808,C=Cc1ccccn1,0.02,8,1.7246
2809,N#Cc1ccccn1,0.11,8,0.95328
2810,CCc1ccccn1,0.02,8,1.644
2811,O=NN1CCCCC1,0.07,8,1.1537
2812,C1CN2CCC1CC2,0.08,8,1.1021
2813,O=Cc1cccc(O)c1,0.06,9,1.2047
2814,COc1cccc(C)c1,0.01,9,2.00362
2815,Clc1nc(Cl)nc(Nc2ccccc2Cl)n1,0.0,16,3.5754
2816,Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl,0.0,17,3.7486
2817,CC(C)OC(=O)Nc1cccc(Cl)c1,0.0,14,3.2969
2818,COC(=O)Cc1ccccc1,0.04,11,1.4021
2819,CN(C)C(=O)Nc1ccccc1,0.02,12,1.7801
2820,Oc1ccc(Cc2ccccc2)cc1,0.0,14,2.983
2821,Nc1ccc(Cc2ccc(N)cc2)cc1,0.0,15,2.4418
2822,Nc1ccc(Oc2ccc(N)cc2)cc1,0.0,15,2.6433
2823,c1ccc(Cc2ccccc2)cc1,0.0,13,3.2774
2824,c1ccc(Oc2ccccc2)cc1,0.0,13,3.4789
2825,CCOC(=O)Cc1ccccc1,0.02,12,1.7922
2826,CCOC(=O)Nc1ccccc1,0.01,12,2.255
2827,CC(=O)NC(=O)Nc1ccccc1,0.04,13,1.3546
2828,O=C(Nc1ccccc1)Nc1ccccc1,0.0,16,3.3306
2829,O=C(Oc1ccccc1)Oc1ccccc1,0.0,16,3.2644
2830,CC(=O)Oc1cccc(O)c1,0.05,11,1.3175
2831,O=C(O)Cc1ccc(O)c(O)c1,0.19,12,0.7249
2832,CCOC(=O)C=Cc1ccc(O)c(O)c1,0.02,15,1.6741
2833,O=CNc1cccc([N+](=O)[O-])c1,0.07,12,1.1631
2834,COc1ccc(N)c(C)c1,0.03,10,1.58582
2835,COc1ccc(OC)c(N)c1,0.05,11,1.286
2836,CCCN(CCC)CCC,0.0,10,2.5184
2837,C=CCN(CC=C)CC=C,0.01,10,1.8464
2838,OCCN(CCO)CCO,,10,-1.7347
2839,CC(=O)OCC(COC(C)=O)OC(C)=O,0.9,15,0.0443
2840,NC(=O)CCc1ccccc1,0.08,11,1.1045
2841,O=[N+]([O-])C=Cc1ccccc1,0.01,11,1.934
2842,CC(C)NCc1ccccc1,0.01,11,2.1846
2843,O=C(O)CNc1ccccc1,0.07,11,1.1831
2844,NC(=O)NNc1ccccc1,0.21,11,0.6818
2845,O=C(O)CSc1ccccc1,0.01,11,1.8633
2846,COC(=O)CCc1ccccc1,0.02,12,1.7922
2847,COC(=O)C=Cc1ccccc1,0.01,12,1.8728
2848,c1ccc(CCc2ccccc2)cc1,0.0,14,3.4718
2849,C(=Cc1ccccc1)c1ccccc1,0.0,14,3.857
2850,c1ccc(CNc2ccccc2)cc1,0.0,14,3.2987
2851,c1ccc(N=Nc2ccccc2)cc1,0.0,14,4.102
